Estación,Variable,Unidad,Código,Fecha,Valor,Código de validación
Muralla,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,07/04/2023,2413.0,1
Muralla,Presión,hPa,PR_AVG_1.5m,07/04/2023,938.67,1
Muralla,Presión reducida,hPa,PRED_AVG_1.5m,07/04/2023,1014.0,1
Muralla,Refacho máximo a 10m,km/h,VV_MAX_10m,07/04/2023,35.4,1
Muralla,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,07/04/2023,0.66,1
Muralla,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,07/04/2023,20.72,1
Muralla,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,07/04/2023,17.11,1
Muralla,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,07/04/2023,17.02,1
Muralla,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,07/04/2023,14.38,1
Muralla,Velocidade do vento a 10m,km/h,VV_AVG_10m,07/04/2023,12.0,1
Muralla,Balance hídrico,L/m2,BH_SUM_1.5m,08/04/2023,-6.1,1
Muralla,Chuvia,L/m2,PP_SUM_1.5m,08/04/2023,0.0,1
Muralla,Dirección do refacho a 10m,º,DV_CONDICION_10m,08/04/2023,359.0,1
Muralla,Dirección do vento predominante a 10m,º,DVP_MODA_10m,08/04/2023,180.0,1
Muralla,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,08/04/2023,6.11,1
Muralla,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,08/04/2023,0.0,1
Muralla,Horas de sol,h,HSOL_SUM_1.5m,08/04/2023,11.1022,1
Muralla,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,08/04/2023,65.0,1
Muralla,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,08/04/2023,25.0,1
Muralla,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,08/04/2023,41.0,1
Muralla,Insolación,%,INS_RATIO_1.5m,08/04/2023,86.3,1
Muralla,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,08/04/2023,2299.0,1
Muralla,Presión,hPa,PR_AVG_1.5m,08/04/2023,940.18,1
Muralla,Presión reducida,hPa,PRED_AVG_1.5m,08/04/2023,1015.63,1
Muralla,Refacho máximo a 10m,km/h,VV_MAX_10m,08/04/2023,20.6,1
Muralla,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,08/04/2023,3.26,1
Muralla,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,08/04/2023,22.46,1
Muralla,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,08/04/2023,17.26,1
Muralla,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,08/04/2023,16.89,1
Muralla,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,08/04/2023,12.8,1
Muralla,Velocidade do vento a 10m,km/h,VV_AVG_10m,08/04/2023,11.6,1
Muralla,Balance hídrico,L/m2,BH_SUM_1.5m,09/04/2023,-4.3,1
Muralla,Chuvia,L/m2,PP_SUM_1.5m,09/04/2023,0.0,1
Muralla,Dirección do refacho a 10m,º,DV_CONDICION_10m,09/04/2023,181.0,1
Muralla,Dirección do vento predominante a 10m,º,DVP_MODA_10m,09/04/2023,180.0,1
Muralla,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,09/04/2023,4.32,1
Muralla,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,09/04/2023,0.0,1
Muralla,Horas de sol,h,HSOL_SUM_1.5m,09/04/2023,9.852,1
Muralla,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,09/04/2023,100.0,1
Muralla,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,09/04/2023,26.0,1
Muralla,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,09/04/2023,67.0,1
Muralla,Insolación,%,INS_RATIO_1.5m,09/04/2023,76.3,1
Muralla,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,09/04/2023,2087.0,1
Muralla,Presión,hPa,PR_AVG_1.5m,09/04/2023,944.25,1
Muralla,Presión reducida,hPa,PRED_AVG_1.5m,09/04/2023,1021.0,1
Muralla,Refacho máximo a 10m,km/h,VV_MAX_10m,09/04/2023,24.8,1
Muralla,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,09/04/2023,6.21,1
Muralla,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,09/04/2023,16.67,1
Muralla,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,09/04/2023,13.77,1
Muralla,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,09/04/2023,13.08,1
Muralla,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,09/04/2023,9.01,1
