Estación,Variable,Unidad,Código,Fecha,Valor,Código de validación
CIS Ferrol,Dirección do vento predominante a 10m,º,DVP_MODA_10m,09/04/2024,270.0,1
CIS Ferrol,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,09/04/2024,3.33,1
CIS Ferrol,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,09/04/2024,0.0,1
CIS Ferrol,Horas de sol,h,HSOL_SUM_1.5m,09/04/2024,6.5339,1
CIS Ferrol,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,09/04/2024,88.0,1
CIS Ferrol,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,09/04/2024,55.0,1
CIS Ferrol,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,09/04/2024,70.0,1
CIS Ferrol,Índice Ultravioleta máximo,-,IUVX_MAX_1.5m,09/04/2024,5.0,1
CIS Ferrol,Insolación,%,INS_RATIO_1.5m,09/04/2024,50.5,1
CIS Ferrol,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,09/04/2024,1799.0,1
CIS Ferrol,Presión,hPa,PR_AVG_1.5m,09/04/2024,1026.94,1
CIS Ferrol,Presión reducida,hPa,PRED_AVG_1.5m,09/04/2024,1031.62,1
CIS Ferrol,Refacho máximo a 10m,km/h,VV_MAX_10m,09/04/2024,31.8,1
CIS Ferrol,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,09/04/2024,6.44,1
CIS Ferrol,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,09/04/2024,15.09,1
CIS Ferrol,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,09/04/2024,11.92,1
CIS Ferrol,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,09/04/2024,11.79,1
CIS Ferrol,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,09/04/2024,8.96,1
CIS Ferrol,Velocidade do vento a 10m,km/h,VV_AVG_10m,09/04/2024,5.5,1
CIS Ferrol,Balance hídrico,L/m2,BH_SUM_1.5m,10/04/2024,-4.1,1
CIS Ferrol,Chuvia,L/m2,PP_SUM_1.5m,10/04/2024,0.0,1
CIS Ferrol,Dirección do refacho a 10m,º,DV_CONDICION_10m,10/04/2024,308.0,1
CIS Ferrol,Dirección do vento predominante a 10m,º,DVP_MODA_10m,10/04/2024,-1.0,1
CIS Ferrol,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,10/04/2024,4.06,1
CIS Ferrol,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,10/04/2024,0.0,1
CIS Ferrol,Horas de sol,h,HSOL_SUM_1.5m,10/04/2024,9.9853,1
CIS Ferrol,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,10/04/2024,94.0,1
CIS Ferrol,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,10/04/2024,21.0,1
CIS Ferrol,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,10/04/2024,68.0,1
CIS Ferrol,Índice Ultravioleta máximo,-,IUVX_MAX_1.5m,10/04/2024,7.0,1
CIS Ferrol,Insolación,%,INS_RATIO_1.5m,10/04/2024,76.9,1
CIS Ferrol,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,10/04/2024,2239.0,1
CIS Ferrol,Presión,hPa,PR_AVG_1.5m,10/04/2024,1028.54,1
CIS Ferrol,Presión reducida,hPa,PRED_AVG_1.5m,10/04/2024,1033.22,1
CIS Ferrol,Refacho máximo a 10m,km/h,VV_MAX_10m,10/04/2024,21.5,1
