Estación,Variable,Unidad,Código,Fecha,Valor,Código de validación
Marco da Curra,Temperatura do solo a -0.1m,ºC,TS_AVG_-0.1m,11/04/2023,10.7,1
Marco da Curra,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,11/04/2023,14.11,1
Marco da Curra,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,11/04/2023,10.28,1
Marco da Curra,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,11/04/2023,9.5,1
Marco da Curra,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,11/04/2023,5.46,1
Marco da Curra,Velocidade do vento a 10m,km/h,VV_AVG_10m,11/04/2023,21.1,1
Marco da Curra,Balance hídrico,L/m2,BH_SUM_1.5m,12/04/2023,16.5,1
Marco da Curra,Chuvia,L/m2,PP_SUM_1.5m,12/04/2023,18.3,1
Marco da Curra,Dirección do refacho a 10m,º,DV_CONDICION_10m,12/04/2023,250.0,1
Marco da Curra,Dirección do vento predominante a 10m,º,DVP_MODA_10m,12/04/2023,315.0,1
Marco da Curra,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,12/04/2023,1.8,1
Marco da Curra,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,12/04/2023,15.5,1
Marco da Curra,Horas de sol,h,HSOL_SUM_1.5m,12/04/2023,4.7167,1
Marco da Curra,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,12/04/2023,100.0,1
Marco da Curra,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,12/04/2023,62.0,1
Marco da Curra,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,12/04/2023,91.0,1
Marco da Curra,Insolación,%,INS_RATIO_1.5m,12/04/2023,36.1,1
Marco da Curra,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,12/04/2023,1528.0,1
Marco da Curra,Presión,hPa,PR_AVG_1.5m,12/04/2023,942.02,1
Marco da Curra,Presión reducida,hPa,PRED_AVG_1.5m,12/04/2023,1019.3,1
Marco da Curra,Refacho máximo a 10m,km/h,VV_MAX_10m,12/04/2023,66.9,1
Marco da Curra,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,12/04/2023,4.76,1
Marco da Curra,Temperatura do solo a -0.1m,ºC,TS_AVG_-0.1m,12/04/2023,9.93,1
Marco da Curra,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,12/04/2023,8.92,1
Marco da Curra,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,12/04/2023,7.41,1
Marco da Curra,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,12/04/2023,6.23,1
Marco da Curra,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,12/04/2023,3.49,1
Marco da Curra,Velocidade do vento a 10m,km/h,VV_AVG_10m,12/04/2023,23.4,1
Marco da Curra,Balance hídrico,L/m2,BH_SUM_1.5m,13/04/2023,11.0,1
Marco da Curra,Chuvia,L/m2,PP_SUM_1.5m,13/04/2023,11.8,1
Marco da Curra,Dirección do refacho a 10m,º,DV_CONDICION_10m,13/04/2023,246.0,1
Marco da Curra,Dirección do vento predominante a 10m,º,DVP_MODA_10m,13/04/2023,270.0,1
