AYUNTAMIENTO,PROVINCIA,CCAA,RÉGIMEN DEDICACIÓN,TOTAL PERCIBIDO
QUINTANAR DE LA ORDEN,Toledo,Castilla-La Mancha,Exclusiva,"40.137,86"
QUISMONDO,Toledo,Castilla-La Mancha,Sin dedicación,"0,00"
"Real de San Vicente, El",Toledo,Castilla-La Mancha,Sin dedicación,"0,00"
Retamoso de la Jara,Toledo,Castilla-La Mancha,Sin dedicación,"1.650,00"
Rielves,Toledo,Castilla-La Mancha,Sin dedicación,"610,00"
Robledo del Mazo,Toledo,Castilla-La Mancha,Sin dedicación,"9.800,00"
"Romeral, El",Toledo,Castilla-La Mancha,Parcial,"26.839,40"
San Martín de Montalbán,Toledo,Castilla-La Mancha,Parcial,"20.953,30"
San Martín de Pusa,Toledo,Castilla-La Mancha,Sin dedicación,"2.085,89"
San Román de los Montes,Toledo,Castilla-La Mancha,Sin dedicación,"8.730,00"
SANTA ANA DE PUSA,Toledo,Castilla-La Mancha,Sin dedicación,"1.220,83"
SANTA CRUZ DE LA ZARZA,Toledo,Castilla-La Mancha,Sin dedicación,"240,00"
SANTA CRUZ DEL RETAMAR,Toledo,Castilla-La Mancha,Exclusiva,"38.397,80"
Santa Olalla,Toledo,Castilla-La Mancha,Exclusiva,"28.900,06"
Santo Domingo-Caudilla,Toledo,Castilla-La Mancha,Parcial,"17.112,48"
Sartajada,Toledo,Castilla-La Mancha,Parcial,"4.188,00"
Seseña,Toledo,Castilla-La Mancha,Exclusiva,"38.571,48"
Sevilleja de la Jara,Toledo,Castilla-La Mancha,Parcial,"7.904,52"
SONSECA,Toledo,Castilla-La Mancha,Exclusiva,"34.300,00"
TALAVERA DE LA REINA,Toledo,Castilla-La Mancha,Exclusiva,"74.624,34"
TEMBLEQUE,Toledo,Castilla-La Mancha,Sin dedicación,"850,00"
"Toboso, El",Toledo,Castilla-La Mancha,Exclusiva,"21.420,00"
Toledo,Toledo,Castilla-La Mancha,Exclusiva,"65.943,22"
"Torre de Esteban Hambrán, La",Toledo,Castilla-La Mancha,Parcial,"23.800,00"
Torrecilla de la Jara,Toledo,Castilla-La Mancha,Parcial,"9.100,00"
Torrico,Toledo,Castilla-La Mancha,Sin dedicación,"390,00"
Torrijos,Toledo,Castilla-La Mancha,Exclusiva,"45.364,34"
TOTANÉS,Toledo,Castilla-La Mancha,Sin dedicación,"0,00"
Turleque,Toledo,Castilla-La Mancha,Sin dedicación,"3.600,00"
Ugena,Toledo,Castilla-La Mancha,Exclusiva,"35.200,00"
Urda,Toledo,Castilla-La Mancha,Parcial,"11.198,57"
Valdeverdeja,Toledo,Castilla-La Mancha,Sin dedicación,"0,00"
Valmojado,Toledo,Castilla-La Mancha,Parcial,"7.188,30"
Velada,Toledo,Castilla-La Mancha,Exclusiva,"43.852,54"
"VENTAS CON PEÑA AGUILERA, LAS",Toledo,Castilla-La Mancha,Sin dedicación,"0,00"
"Ventas de San Julián, Las",Toledo,Castilla-La Mancha,Sin dedicación,"300,00"
"VILLA DE DON FADRIQUE, LA",Toledo,Castilla-La Mancha,Exclusiva,"40.082,84"
Villacañas,Toledo,Castilla-La Mancha,Exclusiva,"47.867,64"
Villafranca de los Caballeros,Toledo,Castilla-La Mancha,Sin dedicación,"0,00"
Villaluenga de la Sagra,Toledo,Castilla-La Mancha,Sin dedicación,"0,00"
Villamiel de Toledo,Toledo,Castilla-La Mancha,Sin dedicación,"0,00"
Villamuelas,Toledo,Castilla-La Mancha,Sin dedicación,"0,00"
VILLANUEVA DE ALCARDETE,Toledo,Castilla-La Mancha,Parcial,"23.823,96"
Villarrubia de Santiago,Toledo,Castilla-La Mancha,Parcial,"19.310,84"
Villaseca de la Sagra,Toledo,Castilla-La Mancha,Sin dedicación,"0,00"
Villasequilla,Toledo,Castilla-La Mancha,Parcial,"18.334,42"
VILLATOBAS,Toledo,Castilla-La Mancha,Parcial,"24.432,72"
"Viso de San Juan, El",Toledo,Castilla-La Mancha,Sin dedicación,"18.790,00"
"YÉBENES, LOS",Toledo,Castilla-La Mancha,Exclusiva,"49.152,60"
Yeles,Toledo,Castilla-La Mancha,Parcial,"38.254,16"
Yepes,Toledo,Castilla-La Mancha,Exclusiva,"31.262,00"
YUNCLER,Toledo,Castilla-La Mancha,Exclusiva,"37.800,00"
Yunclillos,Toledo,Castilla-La Mancha,Parcial,"8.471,50"
YUNCOS,Toledo,Castilla-La Mancha,Sin dedicación,"10.450,00"
Ademuz,València/Valencia,Comunitat Valenciana,Exclusiva,"32.848,62"
ADOR,València/Valencia,Comunitat Valenciana,Sin dedicación,"445,00"
Agullent,València/Valencia,Comunitat Valenciana,Exclusiva,"33.191,20"
Aielo de Malferit,València/Valencia,Comunitat Valenciana,Parcial,"37.048,82"
Aielo de Rugat,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Alaquàs,València/Valencia,Comunitat Valenciana,Exclusiva,"48.885,90"
Albaida,València/Valencia,Comunitat Valenciana,Exclusiva,"42.000,00"
Albal,València/Valencia,Comunitat Valenciana,Sin dedicación,"18.840,00"
Albalat de la Ribera,València/Valencia,Comunitat Valenciana,Sin dedicación,"860,00"
Albalat dels Sorells,València/Valencia,Comunitat Valenciana,Exclusiva,"33.340,58"
Albalat dels Tarongers,València/Valencia,Comunitat Valenciana,Parcial,"22.400,00"
Alberic,València/Valencia,Comunitat Valenciana,Exclusiva,"43.225,56"
Alborache,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Alboraya,València/Valencia,Comunitat Valenciana,Sin dedicación,"26.369,81"
Albuixech,València/Valencia,Comunitat Valenciana,Sin dedicación,"7.445,00"
Alcàntera de Xúquer,València/Valencia,Comunitat Valenciana,Exclusiva,"33.763,47"
Alcàsser,València/Valencia,Comunitat Valenciana,Exclusiva,"37.753,20"
Alcublas,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
"Alcúdia de Crespins, l'",València/Valencia,Comunitat Valenciana,Exclusiva,"34.888,00"
"Alcúdia, l'",València/Valencia,Comunitat Valenciana,Sin dedicación,"5.014,00"
Aldaia,València/Valencia,Comunitat Valenciana,Parcial,"36.783,18"
Alfafar,València/Valencia,Comunitat Valenciana,Exclusiva,"52.805,34"
Alfara de la Baronia,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Alfara del Patriarca,València/Valencia,Comunitat Valenciana,Parcial,"28.735,92"
Alfarp,València/Valencia,Comunitat Valenciana,Parcial,"9.270,36"
Alfarrasí,València/Valencia,Comunitat Valenciana,Parcial,"8.800,00"
Algar de Palancia,València/Valencia,Comunitat Valenciana,Sin dedicación,"5.977,00"
Algemesí,València/Valencia,Comunitat Valenciana,Exclusiva,"46.919,88"
Algimia de Alfara,València/Valencia,Comunitat Valenciana,Exclusiva,"30.000,00"
Alginet,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Almàssera,València/Valencia,Comunitat Valenciana,Sin dedicación,"6.750,00"
Almiserà,València/Valencia,Comunitat Valenciana,Parcial,"4.539,60"
Almoines,València/Valencia,Comunitat Valenciana,Sin dedicación,"6.200,00"
Almussafes,València/Valencia,Comunitat Valenciana,Exclusiva,"49.272,96"
Alpuente,València/Valencia,Comunitat Valenciana,Parcial,"31.839,16"
"ALQUERIA DE LA COMTESSA, L'",València/Valencia,Comunitat Valenciana,Parcial,"10.100,00"
Alzira,València/Valencia,Comunitat Valenciana,Exclusiva,"35.143,50"
Andilla,València/Valencia,Comunitat Valenciana,Parcial,"19.624,32"
Anna,València/Valencia,Comunitat Valenciana,Sin dedicación,"300,00"
Antella,València/Valencia,Comunitat Valenciana,Exclusiva,"25.200,00"
Aras de los Olmos,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Atzeneta d'Albaida,València/Valencia,Comunitat Valenciana,Sin dedicación,"210,00"
Ayora,València/Valencia,Comunitat Valenciana,Exclusiva,"45.696,00"
BARX,València/Valencia,Comunitat Valenciana,Parcial,"8.512,00"
Barxeta,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Bèlgida,València/Valencia,Comunitat Valenciana,Parcial,"18.510,84"
Bellús,València/Valencia,Comunitat Valenciana,Sin dedicación,"5.742,00"
Benagéber,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
BENAGUASIL,València/Valencia,Comunitat Valenciana,Sin dedicación,"990,00"
Benavites,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Benetússer,València/Valencia,Comunitat Valenciana,Parcial,"42.452,20"
Beniarjó,València/Valencia,Comunitat Valenciana,Parcial,"9.323,79"
Beniatjar,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Benicolet,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Benicull de Xúquer,València/Valencia,Comunitat Valenciana,Parcial,"19.973,41"
Benifaió,València/Valencia,Comunitat Valenciana,Exclusiva,"38.903,06"
Benifairó de la Valldigna,València/Valencia,Comunitat Valenciana,Sin dedicación,"2.775,00"
Benifairó de les Valls,València/Valencia,Comunitat Valenciana,Parcial,"37.050,44"
Beniflá,València/Valencia,Comunitat Valenciana,Parcial,"11.000,00"
Benigànim,València/Valencia,Comunitat Valenciana,Exclusiva,"49.133,02"
Benimodo,València/Valencia,Comunitat Valenciana,Sin dedicación,"1.500,00"
Benimuslem,València/Valencia,Comunitat Valenciana,Parcial,"10.483,33"
Beniparrell,València/Valencia,Comunitat Valenciana,Exclusiva,"34.632,22"
Benirredrà,València/Valencia,Comunitat Valenciana,Exclusiva,"31.015,38"
Benisanó,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Benissoda,València/Valencia,Comunitat Valenciana,Sin dedicación,"350,00"
Benisuera,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Bétera,València/Valencia,Comunitat Valenciana,Exclusiva,"49.329,70"
Bicorp,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Bocairent,València/Valencia,Comunitat Valenciana,Exclusiva,"8.645,14"
Bolbaite,València/Valencia,Comunitat Valenciana,Parcial,"27.232,37"
Bonrepòs i Mirambell,València/Valencia,Comunitat Valenciana,Exclusiva,"23.999,92"
Bufali,València/Valencia,Comunitat Valenciana,Parcial,"11.452,12"
Buñol,València/Valencia,Comunitat Valenciana,Exclusiva,"35.706,16"
BURJASSOT,València/Valencia,Comunitat Valenciana,Sin dedicación,"20.340,00"
Camporrobles,València/Valencia,Comunitat Valenciana,Parcial,"14.000,00"
Canals,València/Valencia,Comunitat Valenciana,Exclusiva,"9.066,39"
Canet d'En Berenguer,València/Valencia,Comunitat Valenciana,Parcial,"25.607,12"
Carcaixent,València/Valencia,Comunitat Valenciana,Exclusiva,"48.541,48"
Càrcer,València/Valencia,Comunitat Valenciana,Parcial,"22.400,00"
Carlet,València/Valencia,Comunitat Valenciana,Exclusiva,"44.564,52"
Carrícola,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Casas Altas,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Casas Bajas,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
CASINOS,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Castellonet de la Conquesta,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Castielfabib,València/Valencia,Comunitat Valenciana,Parcial,"26.377,65"
Catadau,València/Valencia,Comunitat Valenciana,Parcial,"20.841,66"
CATARROJA,València/Valencia,Comunitat Valenciana,Exclusiva,"53.120,00"
Caudete de las Fuentes,València/Valencia,Comunitat Valenciana,Parcial,"15.435,97"
Cerdà,València/Valencia,Comunitat Valenciana,Parcial,"21.189,00"
Chella,València/Valencia,Comunitat Valenciana,Exclusiva,"33.299,42"
Chelva,València/Valencia,Comunitat Valenciana,Exclusiva,"25.358,08"
Cheste,València/Valencia,Comunitat Valenciana,Exclusiva,"43.651,02"
Chiva,València/Valencia,Comunitat Valenciana,Exclusiva,"44.100,00"
Chulilla,València/Valencia,Comunitat Valenciana,Parcial,"15.629,04"
Cofrentes,València/Valencia,Comunitat Valenciana,Sin dedicación,"4.320,00"
Corbera,València/Valencia,Comunitat Valenciana,Exclusiva,"31.430,00"
Cortes de Pallás,València/Valencia,Comunitat Valenciana,Parcial,"32.848,48"
Cotes,València/Valencia,Comunitat Valenciana,Parcial,"6.191,76"
Cullera,València/Valencia,Comunitat Valenciana,Sin dedicación,"16.600,00"
DAIMÚS,València/Valencia,Comunitat Valenciana,Exclusiva,"18.359,88"
Domeño,València/Valencia,Comunitat Valenciana,Sin dedicación,"1.100,00"
Dos Aguas,València/Valencia,Comunitat Valenciana,Parcial,"32.900,12"
"Eliana, l'",València/Valencia,Comunitat Valenciana,Sin dedicación,"10.350,00"
Emperador,València/Valencia,Comunitat Valenciana,Parcial,"12.000,00"
ENGUERA,València/Valencia,Comunitat Valenciana,Sin dedicación,"1.700,00"
"Ènova, l'",València/Valencia,Comunitat Valenciana,Parcial,"32.080,00"
Estivella,València/Valencia,Comunitat Valenciana,Parcial,"23.703,00"
Estubeny,València/Valencia,Comunitat Valenciana,Sin dedicación,"150,00"
Faura,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Favara,València/Valencia,Comunitat Valenciana,Parcial,"10.542,36"
Foios,València/Valencia,Comunitat Valenciana,Exclusiva,"43.860,00"
"Font de la Figuera, la",València/Valencia,Comunitat Valenciana,Exclusiva,"30.952,46"
"Font d'En Carròs, la",València/Valencia,Comunitat Valenciana,Parcial,"3.370,68"
Fontanars dels Alforins,València/Valencia,Comunitat Valenciana,Parcial,"9.360,00"
Fortaleny,València/Valencia,Comunitat Valenciana,Exclusiva,"16.302,27"
Fuenterrobles,València/Valencia,Comunitat Valenciana,Parcial,"16.130,76"
Gandia,València/Valencia,Comunitat Valenciana,Exclusiva,"53.633,03"
Gavarda,València/Valencia,Comunitat Valenciana,Sin dedicación,"180,00"
Genovés,València/Valencia,Comunitat Valenciana,Parcial,"26.024,49"
Gestalgar,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Gilet,València/Valencia,Comunitat Valenciana,Exclusiva,"34.406,60"
Godella,València/Valencia,Comunitat Valenciana,Exclusiva,"19.448,10"
"Granja de la Costera, la",València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Guadasséquies,València/Valencia,Comunitat Valenciana,Parcial,"16.746,54"
Guardamar de la Safor,València/Valencia,Comunitat Valenciana,Parcial,"12.610,36"
Higueruelas,València/Valencia,Comunitat Valenciana,Sin dedicación,"4.900,00"
Jalance,València/Valencia,Comunitat Valenciana,Sin dedicación,"1.350,00"
Jarafuel,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Llanera de Ranes,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Llaurí,València/Valencia,Comunitat Valenciana,Sin dedicación,"700,00"
Llíria,València/Valencia,Comunitat Valenciana,Exclusiva,"43.370,42"
Llocnou de la Corona,València/Valencia,Comunitat Valenciana,Sin dedicación,"300,00"
Llocnou de Sant Jeroni,València/Valencia,Comunitat Valenciana,Parcial,"21.788,23"
Llocnou d'En Fenollet,València/Valencia,Comunitat Valenciana,Parcial,"4.800,00"
Llombai,València/Valencia,Comunitat Valenciana,Parcial,"23.100,00"
"Llosa de Ranes, la",València/Valencia,Comunitat Valenciana,Sin dedicación,"1.835,00"
Llutxent,València/Valencia,Comunitat Valenciana,Sin dedicación,"1.450,00"
Losa del Obispo,València/Valencia,Comunitat Valenciana,Parcial,"8.918,79"
Macastre,València/Valencia,Comunitat Valenciana,Exclusiva,"20.182,54"
Manises,València/Valencia,Comunitat Valenciana,Sin dedicación,"13.899,00"
Manuel,València/Valencia,Comunitat Valenciana,Exclusiva,"35.000,00"
Marines,València/Valencia,Comunitat Valenciana,Sin dedicación,"769,28"
Massalavés,València/Valencia,Comunitat Valenciana,Exclusiva,"25.925,04"
Massalfassar,València/Valencia,Comunitat Valenciana,Exclusiva,"17.000,91"
Massamagrell,València/Valencia,Comunitat Valenciana,Exclusiva,"40.386,36"
Massanassa,València/Valencia,Comunitat Valenciana,Exclusiva,"43.026,78"
Meliana,València/Valencia,Comunitat Valenciana,Exclusiva,"32.756,40"
Millares,València/Valencia,Comunitat Valenciana,Sin dedicación,"3.235,14"
Miramar,València/Valencia,Comunitat Valenciana,Exclusiva,"39.650,52"
Mislata,València/Valencia,Comunitat Valenciana,Sin dedicación,"42.900,00"
Mogente/Moixent,València/Valencia,Comunitat Valenciana,Parcial,"26.582,36"
MONCADA,València/Valencia,Comunitat Valenciana,Sin dedicación,"12.450,00"
Montaverner,València/Valencia,Comunitat Valenciana,Parcial,"23.710,55"
Montesa,València/Valencia,Comunitat Valenciana,Parcial,"18.250,00"
Montitxelvo/Montichelvo,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Montroi/Montroy,València/Valencia,Comunitat Valenciana,Exclusiva,"37.088,10"
Montserrat,València/Valencia,Comunitat Valenciana,Exclusiva,"39.774,98"
Museros,València/Valencia,Comunitat Valenciana,Exclusiva,"43.331,54"
NÁQUERA,València/Valencia,Comunitat Valenciana,Parcial,"31.999,94"
Navarrés,València/Valencia,Comunitat Valenciana,Exclusiva,"33.195,48"
Novelé/Novetlè,València/Valencia,Comunitat Valenciana,Sin dedicación,"860,00"
OLIVA,València/Valencia,Comunitat Valenciana,Exclusiva,"28.380,00"
"Olleria, l'",València/Valencia,Comunitat Valenciana,Exclusiva,"42.988,06"
Olocau,València/Valencia,Comunitat Valenciana,Sin dedicación,"6.450,00"
Ontinyent,València/Valencia,Comunitat Valenciana,Exclusiva,"48.995,22"
Otos,València/Valencia,Comunitat Valenciana,Parcial,"3.300,06"
"Palomar, el",València/Valencia,Comunitat Valenciana,Sin dedicación,"2.850,00"
Paterna,València/Valencia,Comunitat Valenciana,Exclusiva,"70.537,18"
Pedralba,València/Valencia,Comunitat Valenciana,Parcial,"36.885,10"
Petrés,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
PICASSENT,València/Valencia,Comunitat Valenciana,Exclusiva,"49.048,00"
Piles,València/Valencia,Comunitat Valenciana,Exclusiva,"36.021,30"
Pinet,València/Valencia,Comunitat Valenciana,Parcial,"3.000,00"
"Pobla de Farnals, la",València/Valencia,Comunitat Valenciana,Exclusiva,"38.903,06"
"Pobla de Vallbona, la",València/Valencia,Comunitat Valenciana,Parcial,"57.634,08"
"Pobla del Duc, la",València/Valencia,Comunitat Valenciana,Exclusiva,"3.441,24"
"Pobla Llarga, la",València/Valencia,Comunitat Valenciana,Sin dedicación,"2.108,00"
Polinyà de Xúquer,València/Valencia,Comunitat Valenciana,Parcial,"18.213,86"
Puçol,València/Valencia,Comunitat Valenciana,Exclusiva,"44.773,54"
"Puig de Santa Maria, el",València/Valencia,Comunitat Valenciana,Exclusiva,"42.000,00"
Quart de les Valls,València/Valencia,Comunitat Valenciana,Parcial,"19.792,82"
Quart de Poblet,València/Valencia,Comunitat Valenciana,Sin dedicación,"14.700,00"
Quartell,València/Valencia,Comunitat Valenciana,Parcial,"8.659,13"
Quatretonda,València/Valencia,Comunitat Valenciana,Exclusiva,"14.000,00"
Quesa,València/Valencia,Comunitat Valenciana,Parcial,"22.655,88"
Rafelbunyol,València/Valencia,Comunitat Valenciana,Exclusiva,"40.238,24"
Rafelguaraf,València/Valencia,Comunitat Valenciana,Exclusiva,"38.140,00"
Ráfol de Salem,València/Valencia,Comunitat Valenciana,Parcial,"4.073,80"
Real,València/Valencia,Comunitat Valenciana,Exclusiva,"31.469,76"
Real de Gandía,València/Valencia,Comunitat Valenciana,Parcial,"21.700,00"
Requena,València/Valencia,Comunitat Valenciana,Exclusiva,"52.093,44"
Riba-roja de Túria,València/Valencia,Comunitat Valenciana,Exclusiva,"45.916,56"
Riola,València/Valencia,Comunitat Valenciana,Exclusiva,"22.810,35"
Rocafort,València/Valencia,Comunitat Valenciana,Sin dedicación,"4.470,00"
Rotglà i Corberà,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Rótova,València/Valencia,Comunitat Valenciana,Parcial,"12.108,00"
Rugat,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
SAGUNTO/SAGUNT,València/Valencia,Comunitat Valenciana,Exclusiva,"52.853,50"
Salem,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
San Antonio de Benagéber,València/Valencia,Comunitat Valenciana,Parcial,"36.954,72"
Sant Joanet,València/Valencia,Comunitat Valenciana,Sin dedicación,"5.000,00"
Sedaví,València/Valencia,Comunitat Valenciana,Parcial,"35.103,60"
Segart,València/Valencia,Comunitat Valenciana,Parcial,"4.659,59"
Sellent,València/Valencia,Comunitat Valenciana,Parcial,"12.158,04"
Sempere,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Senyera,València/Valencia,Comunitat Valenciana,Sin dedicación,"7.686,98"
Siete Aguas,València/Valencia,Comunitat Valenciana,Parcial,"10.360,08"
SILLA,València/Valencia,Comunitat Valenciana,Exclusiva,"44.894,50"
Simat de la Valldigna,València/Valencia,Comunitat Valenciana,Exclusiva,"19.172,24"
Sinarcas,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Sollana,València/Valencia,Comunitat Valenciana,Parcial,"35.877,24"
Sot de Chera,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
SUECA,València/Valencia,Comunitat Valenciana,Exclusiva,"40.040,00"
Sumacàrcer,València/Valencia,Comunitat Valenciana,Exclusiva,"32.194,50"
Tavernes Blanques,València/Valencia,Comunitat Valenciana,Parcial,"29.988,00"
Tavernes de la Valldigna,València/Valencia,Comunitat Valenciana,Exclusiva,"45.573,80"
Teresa de Cofrentes,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Terrateig,València/Valencia,Comunitat Valenciana,Parcial,"3.444,56"
Titaguas,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Torrebaja,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Torrella,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
TORRENT,València/Valencia,Comunitat Valenciana,Sin dedicación,"26.675,04"
Torres Torres,València/Valencia,Comunitat Valenciana,Sin dedicación,"670,00"
Tous,València/Valencia,Comunitat Valenciana,Sin dedicación,"400,00"
TUÉJAR,València/Valencia,Comunitat Valenciana,Exclusiva,"34.574,82"
Turís,València/Valencia,Comunitat Valenciana,Exclusiva,"44.254,70"
VALENCIA,València/Valencia,Comunitat Valenciana,Exclusiva,"87.137,82"
Vallanca,València/Valencia,Comunitat Valenciana,Sin dedicación,"0,00"
Vallés,València/Valencia,Comunitat Valenciana,Sin dedicación,"210,00"
Venta del Moro,València/Valencia,Comunitat Valenciana,Exclusiva,"8.634,00"
Vilallonga/Villalonga,València/Valencia,Comunitat Valenciana,Exclusiva,"28.426,09"
Vilamarxant,València/Valencia,Comunitat Valenciana,Exclusiva,"38.325,12"
Villanueva de Castellón,València/Valencia,Comunitat Valenciana,Exclusiva,"39.119,08"
Villar del Arzobispo,València/Valencia,Comunitat Valenciana,Exclusiva,"29.899,67"
Vinalesa,València/Valencia,Comunitat Valenciana,Parcial,"8.776,00"
XÀTIVA,València/Valencia,Comunitat Valenciana,Exclusiva,"51.557,52"
Xeraco,València/Valencia,Comunitat Valenciana,Exclusiva,"3.192,96"
Xirivella,València/Valencia,Comunitat Valenciana,Sin dedicación,"11.733,12"
Yátova,València/Valencia,Comunitat Valenciana,Exclusiva,"32.900,00"
"Yesa, La",València/Valencia,Comunitat Valenciana,Sin dedicación,"810,00"
Zarra,València/Valencia,Comunitat Valenciana,Parcial,"23.166,64"
Adalia,Valladolid,Castilla y León,Sin dedicación,"2.000,00"
Aguasal,Valladolid,Castilla y León,Sin dedicación,"0,00"
Aguilar de Campos,Valladolid,Castilla y León,Sin dedicación,"0,00"
Alaejos,Valladolid,Castilla y León,Exclusiva,"30.412,00"
Alcazarén,Valladolid,Castilla y León,Sin dedicación,"0,00"
Aldeamayor de San Martín,Valladolid,Castilla y León,Parcial,"26.400,00"
Almenara de Adaja,Valladolid,Castilla y León,Sin dedicación,"0,00"
Amusquillo,Valladolid,Castilla y León,Sin dedicación,"120,00"
Arroyo de la Encomienda,Valladolid,Castilla y León,Exclusiva,"51.458,96"
Ataquines,Valladolid,Castilla y León,Parcial,"4.144,43"
Bahabón,Valladolid,Castilla y León,Sin dedicación,"0,00"
Barcial de la Loma,Valladolid,Castilla y León,Sin dedicación,"0,00"
Barruelo del Valle,Valladolid,Castilla y León,Sin dedicación,"0,00"
Becilla de Valderaduey,Valladolid,Castilla y León,Sin dedicación,"150,00"
Benafarces,Valladolid,Castilla y León,Sin dedicación,"0,00"
Bercero,Valladolid,Castilla y León,Sin dedicación,"0,00"
Berceruelo,Valladolid,Castilla y León,Sin dedicación,"0,00"
Berrueces,Valladolid,Castilla y León,Sin dedicación,"0,00"
Bobadilla del Campo,Valladolid,Castilla y León,Parcial,"8.242,90"
Bocigas,Valladolid,Castilla y León,Sin dedicación,"0,00"
Bocos de Duero,Valladolid,Castilla y León,Sin dedicación,"0,00"
Boecillo,Valladolid,Castilla y León,Exclusiva,"27.814,28"
Bolaños de Campos,Valladolid,Castilla y León,Sin dedicación,"0,00"
Brahojos de Medina,Valladolid,Castilla y León,Sin dedicación,"0,00"
Bustillo de Chaves,Valladolid,Castilla y León,Sin dedicación,"0,00"
Cabezón de Pisuerga,Valladolid,Castilla y León,Exclusiva,"30.305,94"
Cabezón de Valderaduey,Valladolid,Castilla y León,Sin dedicación,"0,00"
Cabreros del Monte,Valladolid,Castilla y León,Sin dedicación,"0,00"
Campaspero,Valladolid,Castilla y León,Parcial,"12.036,00"
"Campillo, El",Valladolid,Castilla y León,Parcial,"5.244,03"
Camporredondo,Valladolid,Castilla y León,Sin dedicación,"0,00"
Canalejas de Peñafiel,Valladolid,Castilla y León,Sin dedicación,"0,00"
Canillas de Esgueva,Valladolid,Castilla y León,Sin dedicación,"0,00"
Carpio,Valladolid,Castilla y León,Parcial,"11.815,40"
Casasola de Arión,Valladolid,Castilla y León,Sin dedicación,"1.600,00"
Castrejón de Trabancos,Valladolid,Castilla y León,Sin dedicación,"0,00"
Castrillo de Duero,Valladolid,Castilla y León,Sin dedicación,"0,00"
Castrillo-Tejeriego,Valladolid,Castilla y León,Parcial,"10.000,06"
Castrobol,Valladolid,Castilla y León,Sin dedicación,"1.253,00"
Castrodeza,Valladolid,Castilla y León,Sin dedicación,"0,00"
Castromembibre,Valladolid,Castilla y León,Sin dedicación,"0,00"
Castromonte,Valladolid,Castilla y León,Sin dedicación,"600,00"
Castronuevo de Esgueva,Valladolid,Castilla y León,Sin dedicación,"0,00"
Castronuño,Valladolid,Castilla y León,Parcial,"12.600,00"
Castroponce,Valladolid,Castilla y León,Sin dedicación,"0,00"
Castroverde de Cerrato,Valladolid,Castilla y León,Sin dedicación,"400,00"
Ceinos de Campos,Valladolid,Castilla y León,Sin dedicación,"0,00"
Cervillego de la Cruz,Valladolid,Castilla y León,Sin dedicación,"0,00"
Cigales,Valladolid,Castilla y León,Exclusiva,"18.200,00"
Ciguñuela,Valladolid,Castilla y León,Sin dedicación,"0,00"
Cistérniga,Valladolid,Castilla y León,Exclusiva,"28.249,28"
Cogeces de Íscar,Valladolid,Castilla y León,Sin dedicación,"360,00"
Cogeces del Monte,Valladolid,Castilla y León,Parcial,"11.366,67"
Corcos,Valladolid,Castilla y León,Sin dedicación,"300,00"
Corrales de Duero,Valladolid,Castilla y León,Sin dedicación,"0,00"
Cubillas de Santa Marta,Valladolid,Castilla y León,Sin dedicación,"0,00"
Cuenca de Campos,Valladolid,Castilla y León,Sin dedicación,"0,00"
Curiel de Duero,Valladolid,Castilla y León,Sin dedicación,"0,00"
Encinas de Esgueva,Valladolid,Castilla y León,Sin dedicación,"0,00"
