Comunidad Autónoma,Año,CO2
MADRID,2001,25424
MADRID,2002,25886
MADRID,2003,27082
MADRID,2004,27269
MADRID,2005,28830
MADRID,2006,29189
MADRID,2007,29514
MADRID,2008,27083
MADRID,2009,26396
MADRID,2010,26116
MADRID,2011,25738
MADRID,2012,24001
MADRID,2013,24322
MADRID,2014,22701
MADRID,2015,22054
MADRID,2016,22565
MADRID,2017,22465
MADRID,2018,23573
MADRID,2019,23232
MADRID,2020,19622
MADRID,2021,22164
MADRID,2022,21596
MELILLA,1990,316
MELILLA,1991,345
MELILLA,1992,305
MELILLA,1993,444
MELILLA,1994,448
MELILLA,1995,393
MELILLA,1996,375
MELILLA,1997,290
MELILLA,1998,301
MELILLA,1999,320
MELILLA,2000,329
MELILLA,2001,333
MELILLA,2002,319
MELILLA,2003,342
MELILLA,2004,350
MELILLA,2005,357
MELILLA,2006,395
MELILLA,2007,416
MELILLA,2008,422
MELILLA,2009,401
MELILLA,2010,411
MELILLA,2011,400
MELILLA,2012,470
MELILLA,2013,410
MELILLA,2014,363
MELILLA,2015,394
MELILLA,2016,432
MELILLA,2017,513
MELILLA,2018,469
MELILLA,2019,426
MELILLA,2020,357
MELILLA,2021,344
MELILLA,2022,347
NAVARRA,1990,4029
NAVARRA,1991,4232
NAVARRA,1992,4076
NAVARRA,1993,3853
NAVARRA,1994,4359
NAVARRA,1995,4559
NAVARRA,1996,4636
NAVARRA,1997,4560
NAVARRA,1998,4663
NAVARRA,1999,4930
NAVARRA,2000,3593
NAVARRA,2001,3564
NAVARRA,2002,3899
NAVARRA,2003,5127
NAVARRA,2004,6015
NAVARRA,2005,5757
NAVARRA,2006,5537
NAVARRA,2007,5487
NAVARRA,2008,5755
NAVARRA,2009,5292
NAVARRA,2010,5285
NAVARRA,2011,4177
NAVARRA,2012,3722
NAVARRA,2013,3508
NAVARRA,2014,3424
NAVARRA,2015,3813
NAVARRA,2016,4178
NAVARRA,2017,3873
NAVARRA,2018,3787
NAVARRA,2019,4766
NAVARRA,2020,4126
NAVARRA,2021,4842
NAVARRA,2022,4661
PAÍS VASCO,1990,15361
PAÍS VASCO,1991,17075
PAÍS VASCO,1992,16802
PAÍS VASCO,1993,15796
PAÍS VASCO,1994,17508
PAÍS VASCO,1995,16197
PAÍS VASCO,1996,14925
PAÍS VASCO,1997,15633
PAÍS VASCO,1998,16360
PAÍS VASCO,1999,17502
PAÍS VASCO,2000,19088
PAÍS VASCO,2001,18544
PAÍS VASCO,2002,20823
PAÍS VASCO,2003,20523
PAÍS VASCO,2004,21178
PAÍS VASCO,2005,23036
PAÍS VASCO,2006,22938
PAÍS VASCO,2007,21873
PAÍS VASCO,2008,21891
PAÍS VASCO,2009,20931
PAÍS VASCO,2010,20277
PAÍS VASCO,2011,16823
PAÍS VASCO,2012,17273
PAÍS VASCO,2013,14833
PAÍS VASCO,2014,14079
PAÍS VASCO,2015,14012
PAÍS VASCO,2016,13834
PAÍS VASCO,2017,14295
PAÍS VASCO,2018,14251
PAÍS VASCO,2019,15179
PAÍS VASCO,2020,13089
PAÍS VASCO,2021,14343
PAÍS VASCO,2022,14488
REGIÓN DE MURCIA,1990,5559
REGIÓN DE MURCIA,1991,5610
REGIÓN DE MURCIA,1992,5830
REGIÓN DE MURCIA,1993,5301
REGIÓN DE MURCIA,1994,5849
REGIÓN DE MURCIA,1995,5887
REGIÓN DE MURCIA,1996,5877
REGIÓN DE MURCIA,1997,5879
REGIÓN DE MURCIA,1998,6492
REGIÓN DE MURCIA,1999,6893
REGIÓN DE MURCIA,2000,7413
REGIÓN DE MURCIA,2001,7740
REGIÓN DE MURCIA,2002,8470
REGIÓN DE MURCIA,2003,7694
REGIÓN DE MURCIA,2004,7705
REGIÓN DE MURCIA,2005,8041
REGIÓN DE MURCIA,2006,9896
REGIÓN DE MURCIA,2007,11203
REGIÓN DE MURCIA,2008,12328
REGIÓN DE MURCIA,2009,10071
REGIÓN DE MURCIA,2010,9073
REGIÓN DE MURCIA,2011,8486
REGIÓN DE MURCIA,2012,8899
REGIÓN DE MURCIA,2013,8273
REGIÓN DE MURCIA,2014,8473
REGIÓN DE MURCIA,2015,8118
REGIÓN DE MURCIA,2016,7855
REGIÓN DE MURCIA,2017,8953
REGIÓN DE MURCIA,2018,9108
REGIÓN DE MURCIA,2019,10326
REGIÓN DE MURCIA,2020,9387
REGIÓN DE MURCIA,2021,9480
REGIÓN DE MURCIA,2022,11033
TOTAL DE ESPAÑA,1990,253113
TOTAL DE ESPAÑA,1991,260660
TOTAL DE ESPAÑA,1992,270132
TOTAL DE ESPAÑA,1993,258912
TOTAL DE ESPAÑA,1994,276167
TOTAL DE ESPAÑA,1995,290036
TOTAL DE ESPAÑA,1996,280857
TOTAL DE ESPAÑA,1997,294920
TOTAL DE ESPAÑA,1998,303727
TOTAL DE ESPAÑA,1999,326358
TOTAL DE ESPAÑA,2000,339472
TOTAL DE ESPAÑA,2001,336300
TOTAL DE ESPAÑA,2002,355776
TOTAL DE ESPAÑA,2003,363163
TOTAL DE ESPAÑA,2004,377188
TOTAL DE ESPAÑA,2005,391438
TOTAL DE ESPAÑA,2006,383388
TOTAL DE ESPAÑA,2007,396823
TOTAL DE ESPAÑA,2008,363202
TOTAL DE ESPAÑA,2009,326086
TOTAL DE ESPAÑA,2010,308542
TOTAL DE ESPAÑA,2011,308859
TOTAL DE ESPAÑA,2012,304134
TOTAL DE ESPAÑA,2013,278021
TOTAL DE ESPAÑA,2014,277595
TOTAL DE ESPAÑA,2015,286712
TOTAL DE ESPAÑA,2016,274564
TOTAL DE ESPAÑA,2017,287061
TOTAL DE ESPAÑA,2018,280524
TOTAL DE ESPAÑA,2019,262508
TOTAL DE ESPAÑA,2020,224121
TOTAL DE ESPAÑA,2021,240855
TOTAL DE ESPAÑA,2022,246669
