Marca,Modelo,Precio,KM,Año,Tipo_de_combustible,CV,Ubicacion,Transmision,Codigo_postal,Comunidad_autonoma
Saab,9-3,7990,136397,2007,Gasolina,150.0,SEDAVÍ,Manual,46910,Comunidad Valenciana
Volvo,v60,23990,88000,2021,Gasolina,197.0,ALGINET,Automático,46230,Comunidad Valenciana
Volkswagen,golf,5500,189000,2006,Diésel,140.0,ARBOÇ,Manual,43720,Cataluña
Peugeot,208,13490,6613,2024,Gasolina,102.0,MÁLAGA,Manual,29001,Andalucía
Toyota,verso,6850,183000,2011,Diésel,126.0,TORREVIEJA,Manual,03181,Comunidad Valenciana
Bmw,318,37900,15700,2024,Diésel,150.0,MARTOS,Automático,23600,Andalucía
Audi,a4,14900,218000,2019,Diésel,150.0,BADAJOZ,Automático,06011,Extremadura
Toyota,rav 4,24990,131470,2020,Electro/Gasolina,218.0,MADRID,Automático,28970,Madrid
Chevrolet,camaro,26500,78000,2015,Gasolina,,VALENCIA,Automático,46019,Comunidad Valenciana
Audi,q3,32750,119632,2021,Diésel,150.0,VACIAMADRID,Automático,28529,Madrid
Pontiac,solstice,18900,56000,2007,Gasolina,,MARBELLA,Automático,29660,Andalucía
Bmw,x3,34900,33200,2021,Diésel,190.0,ARROYOMOLINOS,Automático,28939,Madrid
Mercedes-benz,clk 200,6990,133000,2004,Diésel,170.0,ANTONIO,Manual,28891,Madrid
Lexus,ct 200h,7843,199517,2011,Electro/Gasolina,136.0,ROZAS,Automático,28232,Madrid
Cupra,ateca,30700,14860,2024,Gasolina,190.0,DONOSTIA,Automático,20018,País Vasco
Fiat,freemont,11899,109985,2015,Diésel,140.0,MONTE,Manual,28660,Madrid
Land rover,range rover evoque,11899,248500,2014,Diésel,150.0,LLERONA,Automático,08520,Cataluña
Ford,fiesta,11000,66956,2021,Gasolina,125.0,TARRAGONA,Manual,43006,Cataluña
Mitsubishi,outlander,13999,149714,2018,Diésel,150.0,AGOST,Manual,03698,Comunidad Valenciana
Ds automobiles,ds 4,7990,148300,2016,Diésel,120.0,REY,Manual,45280,Castilla-La Mancha
Kia,picanto,10340,22000,2024,Gasolina,67.0,MADRID,Manual,28001,Madrid
Citroen,c5 aircross,11900,45000,2020,Gasolina,131.0,Ourense,Manual,32915,Galicia
Alfa romeo,stelvio,18800,63101,2017,Diésel,150.0,Rioja,Automático,26006,La Rioja
Mercedes-benz,cla 220,19480,99000,2014,Diésel,170.0,TOCINOS,Automático,30006,Región de Murcia
Cupra,leon,24890,15000,2024,Gasolina,150.0,LLOBREGAT,Automático,08830,Cataluña
Toyota,verso,10990,123862,2014,Diésel,150.0,VILABLAREIX,Automático,17180,Cataluña
Tesla,model s,19490,189000,2015,Eléctrico,,BASAURI,Automático,48970,País Vasco
Peugeot,408,19990,30832,2024,Gasolina,131.0,MADRID,Automático,28021,Madrid
Audi,a4,5500,250000,2005,Diésel,140.0,NOAIN,Manual,31110,Navarra
Cupra,ateca,36890,9900,2024,Gasolina,300.0,VALLES,Automático,08150,Cataluña
Mercedes-benz,s 350,14500,340000,2010,Diésel,235.0,RINCONADA,Automático,41309,Andalucía
Cupra,formentor,30400,2,2025,Gasolina,150.0,MERIDA,Automático,06800,Extremadura
Renault,symbioz,27990,7215,2024,Electro/Gasolina,143.0,VALENCIA,Automático,46026,Comunidad Valenciana
Cupra,formentor,23455,7772,2024,Gasolina,150.0,BARCELONA,Manual,08030,Cataluña
Volvo,v40,7990,214987,2015,Diésel,114.0,MOSTOLES,Manual,28938,Madrid
Seat,ibiza,8500,131500,2015,Diésel,90.0,REI,Manual,27200,Galicia
Jeep,cherokee,11999,181000,2009,Diésel,177.0,Valle,Manual,08150,Cataluña
Volkswagen,touran,11900,115283,2015,Diésel,105.0,TORREMOLINOS,Manual,29620,Andalucía
Bmw,316,11490,137000,2013,Diésel,116.0,Marbella,Manual,29670,Andalucía
Peugeot,408,22041,14575,2024,Gasolina,,REY,Automático,45280,Castilla-La Mancha
Volkswagen,passat,8499,121814,2012,Diésel,105.0,CARMONA,Manual,41410,Andalucía
