Marca,Modelo,Precio,KM,Año,Tipo_de_combustible,CV,Ubicacion,Transmision,Codigo_postal,Comunidad_Autonoma
Chevrolet,camaro,26500,78000,2015,Gasolina,,VALENCIA,Automático,46019,Comunidad Valenciana
Audi,a1,6999,240000,2011,Diésel,105.0,PINATAR,Manual,30740,Región de Murcia
Audi,q3,32750,119632,2021,Diésel,150.0,VACIAMADRID,Automático,28529,Comunidad de Madrid
Bmw,x3,34900,33200,2021,Diésel,190.0,ARROYOMOLINOS,Automático,28939,Comunidad de Madrid
Tesla,model s,19490,189000,2015,Eléctrico,,BASAURI,Automático,48970,País Vasco
Peugeot,208,13490,6613,2024,Gasolina,102.0,MÁLAGA,Manual,29001,Andalucía
Lexus,ct 200h,7843,199517,2011,Electro/Gasolina,136.0,ROZAS,Automático,28232,Comunidad de Madrid
Cupra,formentor,30400,2,2025,Gasolina,150.0,MERIDA,Automático,06800,Extremadura
Opel,astra,1990,385000,2002,Diésel,99.0,ANTONIO,Manual,28891,Comunidad de Madrid
Jeep,avenger,16790,26194,2024,Gasolina,101.0,MADRID,Manual,28021,Comunidad de Madrid
Volkswagen,tiguan,21190,98273,2020,Diésel,150.0,Massanassa,Automático,46470,Comunidad Valenciana
Renault,grand scenic,6900,202000,2016,Gasolina,131.0,PARLA,Manual,28983,Comunidad de Madrid
Peugeot,3008,19390,54000,2021,Electro/Gasolina,224.0,REYES,Automático,28703,Comunidad de Madrid
Mazda,3,12490,63139,2017,Gasolina,120.0,GASTEIZ,Manual,01003,País Vasco
Audi,s5,32500,128000,2018,Gasolina,354.0,CUELLAR,Automático,40200,Castilla y León
Citroen,berlingo,9990,177000,2018,Diésel,102.0,CANARIA,Manual,35013,Canarias
Land rover,range rover evoque,11899,248500,2014,Diésel,150.0,LLERONA,Automático,,Desconocida
Renault,grand scenic,3600,198000,2006,Diésel,131.0,CONDADO,Manual,45214,Castilla-La Mancha
Volkswagen,golf,13290,118000,2018,Gasolina,116.0,MATARO,Manual,08304,Cataluña
Nissan,qashqai,22900,9571,2024,Gasolina,140.0,OLEIROS,Manual,15172,Galicia
Volkswagen,passat,14990,147000,2020,Diésel,150.0,MALAGA,Manual,29001,Andalucía
Alfa romeo,stelvio,18800,63101,2017,Diésel,150.0,Rioja,Automático,26006,La Rioja
Mercedes-benz,cla 220,19480,99000,2014,Diésel,170.0,TOCINOS,Automático,30006,Región de Murcia
Audi,a6,379900,10,2025,Gasolina,630.0,CARDEDEU,Automático,,Desconocida
Audi,a4,5500,250000,2005,Diésel,140.0,NOAIN,Manual,31110,Comunidad Foral de Navarra
Audi,a4,14900,218000,2019,Diésel,150.0,BADAJOZ,Automático,06011,Extremadura
Mercedes-benz,s 350,14500,340000,2010,Diésel,235.0,RINCONADA,Automático,41309,Andalucía
Jeep,avenger,18100,44437,2023,Gasolina,101.0,MONTJUÏC,Manual,08029,Cataluña
Renault,symbioz,27990,7215,2024,Electro/Gasolina,143.0,VALENCIA,Automático,46026,Comunidad Valenciana
Cupra,formentor,23455,7772,2024,Gasolina,150.0,BARCELONA,Manual,08030,Cataluña
Volvo,v40,7990,214987,2015,Diésel,114.0,MOSTOLES,Manual,28938,Comunidad de Madrid
Ds automobiles,ds 4,7990,148300,2016,Diésel,120.0,REY,Manual,45280,Castilla-La Mancha
Volkswagen,t-roc,13000,182600,2019,Diésel,150.0,CADIZ,Manual,11011,Andalucía
Ford,focus,2900,134000,2003,Gasolina,101.0,Torrevieja,Manual,,Desconocida
Infiniti,q60,36900,54000,2018,Gasolina,405.0,Sabadell,Automático,08206,Cataluña
Peugeot,408,22041,14575,2024,Gasolina,,REY,Automático,45280,Castilla-La Mancha
Citroen,c4,13095,34831,2023,Gasolina,131.0,Castelló,Manual,07009,Islas Baleares
Mercedes-benz,glc 220,27500,115000,2015,Diésel,170.0,GALDAKAO,Automático,48960,País Vasco
Peugeot,rifter,14990,97904,2019,Diésel,99.0,Venturada,Manual,28729,Comunidad de Madrid
Peugeot,408,32990,7250,2024,Electro/Gasolina,224.0,REUS,Automático,43204,Cataluña
Toyota,yaris,11675,108249,2021,Gasolina,111.0,PARLA,Manual,28983,Comunidad de Madrid
Citroen,berlingo,9917,99237,2019,Diésel,103.0,POBLET,Automático,46930,Comunidad Valenciana
Fiat,tipo,7900,98467,2019,Gasolina,95.0,MALAGA,Manual,29004,Andalucía
Audi,a3,9990,190000,2013,Diésel,150.0,Rei,Manual,08750,Cataluña
Bmw,320,36900,22300,2024,Gasolina,184.0,ARROYOMOLINOS,Automático,28939,Comunidad de Madrid
Ds automobiles,ds 3,13500,59992,2020,Diésel,99.0,MAJADAHONDA,Automático,28221,Comunidad de Madrid
Jaguar,xf,13990,86143,2016,Diésel,182.0,REI,Automático,08750,Cataluña
Mazda,cx-5,16990,138000,2017,Diésel,175.0,utrera,Automático,41710,Andalucía
Cupra,leon,24890,15000,2024,Gasolina,150.0,LLOBREGAT,Automático,,Desconocida
Kia,picanto,10340,22000,2024,Gasolina,67.0,MADRID,Manual,28001,Comunidad de Madrid
Dacia,duster,11900,33469,2019,Gasolina,114.0,IURRETA,Manual,48215,País Vasco
Ssangyong,torres,25500,1,2023,Gasolina,163.0,VITORIA,Manual,01013,País Vasco
Honda,cr-v,12999,123300,2011,Gasolina,150.0,BILBAO,Automático,48010,País Vasco
Cupra,leon,26900,13000,2024,Gasolina,190.0,ZARAGOZA,Automático,50197,Aragón
Mg,ehs,19791,23255,2023,Electro/Gasolina,162.0,Segarra,Automático,08281,Cataluña
Ford,focus,15000,10000,2020,Gasolina,250.0,ZARATAN,Manual,47610,Castilla y León
Skoda,kamiq,15900,44000,2021,Gasolina,110.0,PLANA,Automático,12006,Comunidad Valenciana
Citroen,c4 cactus,7999,140000,2016,Diésel,99.0,ALMERIA,Manual,04008,Andalucía
Renault,clio,7950,129000,2017,Diésel,90.0,MANRESA,Manual,08242,Cataluña
Audi,a7,35390,154316,2019,Diésel,286.0,MADRID,Automático,28021,Comunidad de Madrid
Mercedes-benz,e 220,12990,201800,2011,Diésel,170.0,MADRID,Automático,28970,Comunidad de Madrid
Ds automobiles,ds 3,20900,23252,2023,Diésel,131.0,VIGO,Automático,36214,Galicia
Toyota,rav 4,20490,211000,2021,Electro/Gasolina,222.0,Sestao,Automático,48910,País Vasco
Cupra,formentor,24500,11000,2023,Electro/Gasolina,204.0,CAMPO,Automático,28840,Comunidad de Madrid
Skoda,kamiq,13900,94300,2022,Gas licuado (GLP),90.0,ARROYOMOLINOS,Manual,28939,Comunidad de Madrid
Bmw,x3,30900,87400,2020,Diésel,190.0,ARROYOMOLINOS,Automático,28939,Comunidad de Madrid
Jeep,avenger,18190,16845,2024,Gasolina,101.0,MADRID,Manual,28021,Comunidad de Madrid
Seat,leon,5990,174000,2009,Gasolina,125.0,MADRID,Manual,28224,Comunidad de Madrid
Hyundai,ioniq 6,29900,1600,2023,Eléctrico,228.0,ZARAGOZA,Automático,50011,Aragón
Nissan,qashqai,9960,140459,2013,Diésel,110.0,BARCELONA,Manual,,Desconocida
Hyundai,i20,7299,63119,2013,Gasolina,84.0,BESÒS,Manual,08903,Cataluña
Suzuki,jimny,9800,62553,2004,Gasolina,79.0,MATARÓ,Manual,08303,Cataluña
Cupra,leon,26390,6100,2025,Electro/Gasolina,150.0,VALLES,Automático,,Desconocida
Citroen,c4 cactus,7990,100000,2018,Gasolina,110.0,HENARES,Manual,28805,Comunidad de Madrid
Hyundai,i20,7299,63119,2013,Gasolina,84.0,BESÒS,Manual,08903,Cataluña
Suzuki,jimny,9800,62553,2004,Gasolina,79.0,MATARÓ,Manual,08303,Cataluña
Cupra,leon,26390,6100,2025,Electro/Gasolina,150.0,VALLES,Automático,,Desconocida
Citroen,c4 cactus,7990,100000,2018,Gasolina,110.0,HENARES,Manual,28805,Comunidad de Madrid
Nissan,pixo,3000,60367,2009,Gasolina,68.0,MALAGA,Manual,29004,Andalucía
Kia,xceed,13990,94000,2019,Gasolina,140.0,GIJON,Manual,33010,Asturias
