Comunidad Autónoma,Año,CO2,lat,lon
CEUTA,2007,8030,35.888361,-5.304138
CEUTA,2008,6960,35.888361,-5.304138
CEUTA,2009,5900,35.888361,-5.304138
CEUTA,2010,5390,35.888361,-5.304138
CEUTA,2011,4650,35.888361,-5.304138
CEUTA,2012,4520,35.888361,-5.304138
CEUTA,2013,3560,35.888361,-5.304138
CEUTA,2014,3340,35.888361,-5.304138
CEUTA,2015,3310,35.888361,-5.304138
CEUTA,2016,3540,35.888361,-5.304138
CEUTA,2017,4080,35.888361,-5.304138
CEUTA,2018,4310,35.888361,-5.304138
CEUTA,2019,5040,35.888361,-5.304138
CEUTA,2020,3950,35.888361,-5.304138
CEUTA,2021,3770,35.888361,-5.304138
CEUTA,2022,4580,35.888361,-5.304138
COMUNIDAD VALENCIANA,1990,1639,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,1991,17463,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,1992,18187,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,1993,17449,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,1994,19418,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,1995,2093,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,1996,20882,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,1997,21639,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,1998,23613,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,1999,25731,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,2000,25812,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,2001,26018,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,2002,27469,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,2003,28149,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,2004,29435,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,2005,31034,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,2006,30165,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,2007,31862,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,2008,31895,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,2009,2774,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,2010,26673,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,2011,25134,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,2012,23477,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,2013,22916,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,2014,22961,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,2015,23625,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,2016,23565,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,2017,23702,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,2018,23718,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,2019,23801,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,2020,21537,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,2021,23351,39.6819591,-0.7654406
COMUNIDAD VALENCIANA,2022,2327,39.6819591,-0.7654406
EXTREMADURA,1990,2127,39.1748426,-6.1529891
EXTREMADURA,1991,2311,39.1748426,-6.1529891
EXTREMADURA,1992,217,39.1748426,-6.1529891
EXTREMADURA,1993,1861,39.1748426,-6.1529891
EXTREMADURA,1994,2304,39.1748426,-6.1529891
EXTREMADURA,1995,2198,39.1748426,-6.1529891
EXTREMADURA,1996,2392,39.1748426,-6.1529891
EXTREMADURA,1997,2542,39.1748426,-6.1529891
EXTREMADURA,1998,2539,39.1748426,-6.1529891
EXTREMADURA,1999,3151,39.1748426,-6.1529891
EXTREMADURA,2000,363,39.1748426,-6.1529891
EXTREMADURA,2001,3749,39.1748426,-6.1529891
EXTREMADURA,2002,5031,39.1748426,-6.1529891
EXTREMADURA,2003,5528,39.1748426,-6.1529891
EXTREMADURA,2004,5556,39.1748426,-6.1529891
EXTREMADURA,2005,5836,39.1748426,-6.1529891
EXTREMADURA,2006,6593,39.1748426,-6.1529891
EXTREMADURA,2007,6818,39.1748426,-6.1529891
